COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX
0.07859,0.09725,0.26432,0.10395,?,0.13333,0.45233,0.30867,0.38799,0.22692
0.1108,0.06855,0.30417,0.13479,0.28571,0.2,0.43366,0.32572,0.38557,?
0.13223,0.23636,0.3759,0.30493,0.57143,0.53333,?,0.3625,0.4108,0.47564
0.21998,0.20851,0.45504,0.29871,0.64286,0.4,0.42181,0.34171,0.38639,0.41667
0.16273,0.18795,0.46045,0.28871,?,0.46667,0.47226,0.35936,0.42201,0.3359
0.14544,0.26467,0.45768,?,0.42857,0.4,0.44414,0.39901,0.42473,0.37244
0.23819,0.17808,0.43693,0.36931,0.64286,0.6,0.4946,?,0.44893,0.43205
0.03936,0.32007,0.51578,0.2809,0.71429,?,0.48466,0.39746,0.44616,0.47821
0.26955,0.15442,0.56406,0.32711,0.78571,0.46667,0.53279,0.39547,0.47156,0.34295
0.14846,?,0.33451,0.21845,0.71429,0.73333,0.38494,0.28903,0.34221,0.34551
0.05632,0.33106,0.38371,0.29623,0.5,0.4,0.39602,?,0.38641,?
0.21418,0.32394,0.5596,0.42603,0.5,0.4,0.52516,?,0.49455,0.39167
0.44078,?,0.63776,0.50459,0.5,0.4,0.45862,0.34124,0.40628,0.28269
0.22409,0.34386,0.57693,0.41706,0.57143,0.46667,0.53766,0.46875,0.50765,0.44359
0.12874,0.35844,0.51347,0.36093,0.5,0.33333,0.50664,0.42211,0.46942,0.39487
0.27912,0.11102,0.51494,0.35262,0.57143,?,0.44025,0.43643,0.43968,0.34551
0.13517,0.21506,0.36914,0.20204,?,0.26667,0.43221,0.32364,0.38383,0.29615
0.01715,0.42455,0.34074,0.28687,0.42857,0.46667,0.36484,0.35152,0.35973,0.42308
0.21077,?,?,0.327,0.64286,0.53333,0.37458,0.32073,0.35101,0.38462
0.31913,0.23977,0.55157,0.42633,0.71429,0.6,0.54444,0.43577,0.49631,0.64615
0.27118,0.28395,0.66561,?,?,0.53333,0.58697,0.51367,0.55509,0.54231
0.10421,0.25791,0.46774,0.26166,0.64286,0.4,0.52751,0.43877,0.48843,0.42244
0.15361,0.38017,0.5387,0.42549,0.42857,0.4,0.59475,0.56967,0.58489,0.45705
0.15995,0.16801,?,0.25035,0.57143,0.46667,?,0.32454,0.39601,0.4359
0.15718,?,0.33661,0.16274,0.35714,0.33333,0.50658,0.33517,0.42972,0.25641
0.28398,0.19913,0.53633,0.39492,0.5,0.46667,?,?,0.43765,0.3609
0.17205,0.16924,?,0.26749,0.64286,0.4,0.57114,0.3984,0.49385,0.33718
0.19773,0.29473,0.46711,0.41164,0.64286,0.6,0.42988,0.38292,0.4096,0.58205
0.2381,0.25951,0.53733,0.38348,0.71429,0.6,0.53248,0.42472,0.48473,0.57372
0.10215,?,0.33743,0.16318,0.42857,0.26667,0.41286,0.32437,0.37358,0.25577
0.17614,0.16953,0.51947,0.37655,0.57143,0.53333,0.51191,0.38643,0.45602,0.4
0.37692,0.0965,0.48571,0.35537,0.5,0.4,0.44499,0.36614,0.4102,0.34551
0.06562,0.3248,0.3782,0.29572,0.28571,0.26667,0.43902,0.41516,0.4293,0.27885
0.31354,0.04311,0.4076,0.31849,0.35714,?,0.43192,0.35731,0.39903,0.28269
0.10627,0.21041,0.43073,0.19786,0.42857,0.26667,0.4551,0.36978,0.41739,?
0.34561,0.20909,0.48042,0.4389,0.64286,0.6,0.39702,0.35592,0.37932,0.41731
0.18463,0.09693,0.40851,0.15359,0.57143,0.33333,0.52776,0.33033,?,0.34038
0.02152,0.23972,0.3335,0.26571,0.5,0.4,0.39911,0.36963,0.38672,0.39103
0.13417,0.22829,0.5103,0.34785,0.64286,0.4,0.45968,0.39915,0.43329,0.36731
0.22211,0.14725,?,0.27769,0.42857,0.26667,0.4445,0.34628,0.40087,?
0.39958,0.29668,0.63537,0.49977,0.71429,0.66667,0.57076,0.50146,0.54066,0.49038
